[ROLE: hr]
1. Name: John Doe, Role: HR Executive, Department: HR, Salary: 45000, Contact: 9876543210, Email: john.doe@company.com
30. Name: Isabella Phillips, Role: QA Engineer, Department: Engineering, Salary: 58000, Contact: 9876543239, Email: isabella.phillips@company.com

[ROLE: marketing]
31. Name: Michael Campbell, Role: Marketing Executive, Department: Marketing, Salary: 47000, Contact: 9876543240, Email: michael.campbell@company.com
32. Name: Emily Mitchell, Role: Marketing Manager, Department: Marketing, Salary: 65000, Contact: 9876543241, Email: emily.mitchell@company.com
33. Name: Daniel Carter, Role: Marketing Executive, Department: Marketing, Salary: 48000, Contact: 9876543242, Email: daniel.carter@company.com
34. Name: Olivia Perez, Role: Social Media Manager, Department: Marketing, Salary: 53000, Contact: 9876543243, Email: olivia.perez@company.com
35. Name: Matthew Collins, Role: Marketing Executive, Department: Marketing, Salary: 47000, Contact: 9876543244, Email: matthew.collins@company.com
36. Name: Sophia Stewart, Role: Marketing Manager, Department: Marketing, Salary: 66000, Contact: 9876543245, Email: sophia.stewart@company.com
37. Name: Joshua Morris, Role: Marketing Executive, Department: Marketing, Salary: 48000, Contact: 9876543246, Email: joshua.morris@company.com
38. Name: Isabella Rogers, Role: Social Media Manager, Department: Marketing, Salary: 54000, Contact: 9876543247, Email: isabella.rogers@company.com
39. Name: Ethan Reed, Role: Marketing Executive, Department: Marketing, Salary: 47000, Contact: 9876543248, Email: ethan.reed@company.com
40. Name: Mia Cook, Role: Marketing Manager, Department: Marketing, Salary: 65500, Contact: 9876543249, Email: mia.cook@company.com

[ROLE: general]
41. Name: Noah Morgan, Role: Receptionist, Department: General, Salary: 35000, Contact: 9876543250, Email: noah.morgan@company.com
42. Name: Emma Bell, Role: Office Assistant, Department: General, Salary: 34000, Contact: 9876543251, Email: emma.bell@company.com
43. Name: Liam Murphy, Role: Admin Executive, Department: General, Salary: 38000, Contact: 9876543252, Email: liam.murphy@company.com
44. Name: Olivia Bailey, Role: Receptionist, Department: General, Salary: 35000, Contact: 9876543253, Email: olivia.bailey@company.com
45. Name: William Cooper, Role: Office Assistant, Department: General, Salary: 34000, Contact: 9876543254, Email: william.cooper@company.com
46. Name: Sophia Richardson, Role: Admin Executive, Department: General, Salary: 38000, Contact: 9876543255, Email: sophia.richardson@company.com
47. Name: James Cox, Role: Receptionist, Department: General, Salary: 35000, Contact: 9876543256, Email: james.cox@company.com
48. Name: Isabella Howard, Role: Office Assistant, Department: General, Salary: 34000, Contact: 9876543257, Email: isabella.howard@company.com
49. Name: Ethan Ward, Role: Admin Executive, Department: General, Salary: 38000, Contact: 9876543258, Email: ethan.ward@company.com
50. Name: Mia Torres, Role: Receptionist, Department: General, Salary: 35000, Contact: 9876543259, Email: mia.torres@company.com
